Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3373-4361-0722-88559,2021-10-17,1634447427,Charged,crownqlteue,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.49,6.48,Mansfield,TX,76063,US,,
GPA.3310-3009-2475-01718,2021-10-17,1634449615,Charged,d1q,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KES,689.66,110.34,800.00,,,,KE,,
GPA.3344-7447-3628-41531,2021-10-17,1634465567,Charged,a52xq,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,ZAR,85.21,12.78,97.99,Bramley,,2090,ZA,,
GPA.3331-0368-8155-59447,2021-10-17,1634470186,Charged,ASUS_I002D,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,TWD,181.00,9.00,190.00,,,235,TW,,
GPA.3375-1693-1555-42550,2021-10-17,1634478519,Charged,apollo,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.49,0.60,3.09,,,,GR,,
GPA.3359-1773-3132-29941,2021-10-17,1634480557,Charged,OP47DD,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,TWD,152.00,8.00,160.00,,,846,TW,,
GPA.3382-0182-8764-87287,2021-10-17,1634482646,Charged,star2lte,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CHF,5.60,0.00,5.60,Trimmis,,7203,CH,,
GPA.3316-8918-1445-19059,2021-10-17,1634484105,Charged,y2s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.03,0.96,5.99,,,,DE,,
GPA.3317-2756-4164-20704,2021-10-17,1634485601,Charged,redfin,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,4.57,0.92,5.49,,,,GB,,
GPA.3305-4860-2111-48327,2021-10-17,1634490468,Charged,a51,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.99,1.00,5.99,,,,FR,,
GPA.3364-4959-6827-29340,2021-10-17,1634502636,Charged,a20,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,AUD,3.90,0.39,4.29,Thursday Island,QLD,4875,AU,,
GPA.3350-2067-3677-96746,2021-10-18,1634530952,Charged,p3s,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,THB,84.11,5.89,90.00,เขตหลักสี่,กรุงเทพมหานคร,10210,TH,,
GPA.3388-5361-5386-92483,2021-10-18,1634538662,Charged,OP4FA7L1,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,VND,"69,000.00",0.00,"69,000.00",,,,VN,,
GPA.3398-3880-0868-02501,2021-10-18,1634547123,Charged,a71,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,ILS,9.90,0.00,9.90,nazaret illit,,1777002,IL,,
